Skill,Category
Structure research project files as R package,Worth being familiar with
Communicate results in speaking and in writing,Enduring understanding
Formulate a research question,Enduring understanding
Develop data science strategies to address research question,Enduring understanding
Use Github to share code and documentation,Important to know and do
Use git for version control,Important to know and do
Use text analysis tools to analyze tweets,Enduring understanding
Use cluster computing as needed,Worth being familiar with
Use data visualization to clarify and inform quantitative analyses,Important to know and do
Translate analysis results into scientific conclusions,Enduring understanding
Incorporate supplementary data sources into analysis,Important to know and do
Acquire data from internet sources,Important to know and do
Describe assumptions and limitations of statistical analyses,Enduring understanding
