Term,Class
linear algebra decompositions,1
representation of numbers,1
EM,2
RNG,1
MCMC,2
optimization,1
numerical algorithms,1
Bayesian computation,2
efficiency,1
parallel computing,1
modeling language,1
distributed computing,1
compiled languages,1
OOP,1
programming scope,2
R packages,3
debugging,3
symbolic math,1
data structures,2
shell tools,3
reproducible computation,3
text editors,3
version control,3
portability,2
authoring tools,2
file system concepts,3
data bases,1
text processing,3
regular expressions,3
I/O,1
Flash,1
HTTP,1
XML,1
SOAP,1
SVG,1
KML,1
GUIs,2
grid,1
lattice,1
event programming,1
maps,1
grammar of graphics,2
composition,2
interactivity,1
animation,1
perception,1
color,1
raster/vector graphics,1
